,Model,Accuracy,Precision (Weighted),Recall (Weighted),F1 Score (Weighted),Cohen's Kappa
0,Random Forest,0.9574468085106383,0.9573120152627431,0.9574468085106383,0.9573553149506556,0.8836900233719811
1,AdaBoost,0.8983451536643026,0.9271705176706563,0.8983451536643026,0.9062393197140698,0.7547561583992881
2,Gradient Boosting,0.9574468085106383,0.95663277538476,0.9574468085106383,0.956631769760486,0.8812224076876277
3,XGBoost,0.9692671394799054,0.9687648606123713,0.9692671394799054,0.9688317606800048,0.9145481103928393
4,K-Nearest Neighbors,0.9219858156028369,0.9299835352277349,0.9219858156028369,0.9247380640826259,0.7976927201843504
