,Model,Accuracy,Precision,Recall,F1 Score (Weighted),Cohen's Kappa
0,K-Nearest Neighbors,0.9125295508274232,0.9258926022373775,0.9125295508274232,0.9169192346713443,0.7785559658729149
1,Random Forest,0.9574468085106383,0.9573120152627431,0.9574468085106383,0.9573553149506556,0.8836900233719811
2,AdaBoost,0.8983451536643026,0.9271705176706563,0.8983451536643026,0.9062393197140698,0.7547561583992881
3,Gradient Boosting,0.9574468085106383,0.9564615035354472,0.9574468085106383,0.9566749600344224,0.8811797752808989
4,XGBoost,0.9692671394799054,0.9687648606123713,0.9692671394799054,0.9688317606800048,0.9145481103928393
